"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"Tajikistan / TadzhSSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"modernization / socialist progress"
"Tajikistan / TadzhSSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"socialist internationalism / druzhba narodov"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"modernization / socialist progress"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"socialist internationalism / druzhba narodov"
"Kazakhstan / Kazakhskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"modernization / socialist progress"
"Kazakhstan / Kazakhskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"socialist internationalism / druzhba narodov"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"modernization / socialist progress"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"socialist internationalism / druzhba narodov"
"tadzhiki";"Tatar women / tatarki";"80781";"1962_3";"Groups, tatary";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"Central Asia / Srednjaja Azija";"Tajikistan / TadzhSSR";"81253";"1979_3";"Locations, Locations";"present";"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Central Asia / Srednjaja Azija";"Tajikistan / TadzhSSR";"81253";"1979_3";"Locations, Locations";"present";"Factual Statement by Author";"Rupture";"closing gap between city and countryside / village"
"kirgizy";"tadzhiki";"81411";"1962_3";"Central Asian titular nations, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"rabochie-""cygane"" / pejorative exonym for Romani working class";"Tajik women / tadzhichki";"81861";"1962_3";"""cygane"" / pejorative exonym for the Romani people, tadzhiki";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"severnye tadzhiki / Northern Tajikistan Tajiks";"81902";"1979_3";"Groups, tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"russkij narod / Russians";"tadzhiki verkhov'ev Zeravshana";"83524";"1979_3";"Groups, groups in mountainous regions";"past: early Soviet";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"Central Asia / Srednjaja Azija";"Tajikistan / TadzhSSR";"85337";"1955_3";"Locations, Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"pre-Soviet modernization during Russian colonial rule"
"""Rossija"" / Russian Empire";"Tajikistan / TadzhSSR";"85337";"1955_3";"Historical locations, Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"pre-Soviet modernization during Russian colonial rule"
"""Rossija"" / Russian Empire";"Central Asia / Srednjaja Azija";"85337";"1955_3";"Historical locations, Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"pre-Soviet modernization during Russian colonial rule"
"narody Srednej Azii i Kazakhstana";"Tajikistan / TadzhSSR";"85380";"1975_6";"Groups, Locations";"present";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"pamirskie narody";"89399";"1990_5";"Pamir, Pamiri groups";NA;"Factual Statement by Author";NA;"forced assimilation / otadzhikovanie"
"Russians in Central Asia";"tadzhiki-matchincy";"90090";"1962_3";"russkij narod / Russians, groups in mountainous regions";"present";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"tadzhiki";"90576";"1965_6";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"90633";"1965_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pamirskie tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"90633";"1965_6";"Pamiri groups, Pamiri groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pamirskie tadzhiki";"tadzhiki";"90633";"1965_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"91066";"1965_6";"Groups, Pamiri groups";"past: pre-Soviet";"Factual Statement by Author";NA;"pre-Soviet sblizhenie during Russian colonial rule"
"Central Asia / Srednjaja Azija";"tadzhiki";"91817";"1977_5";"Locations, Groups";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Central Asia / Srednjaja Azija";"tadzhiki";"91817";"1977_5";"Locations, Groups";"past: early Soviet";"Factual Statement by Author";NA;"Sovietization"
"Central Asia / Srednjaja Azija";"tadzhiki";"91817";"1977_5";"Locations, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Central Asia / Srednjaja Azija";"tadzhiki";"91817";"1977_5";"Locations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"pamirskie tadzhiki";"tadzhiki";"92078";"1982_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pamirskie tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"92078";"1982_6";"Pamiri groups, Pamiri groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"92078";"1982_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Soviet Union";"tadzhiki";"95724";"1975_4";"Locations, Groups";"present";NA;NA;"Sovietization"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"96098";"1965_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"96098";"1965_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"96098";"1965_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
